#,Time,Title,_source_page,_wiki_api,biome_category,game,Name,Played in,col2
,,,Music,https://maplestory.fandom.com/api.php,hell,MapleStory,HellGate,El Nath: Dead Mine (Caves of Trial)<br />Showa: The Secret Spa,
,,,Music,https://maplestory.fandom.com/api.php,hell,MapleStory,WelcomeToTheHell,Zakum Boss Battle,
,,,Music,https://maplestory.fandom.com/api.php,hell,MapleStory,DespairOnDevil,Demon Tutorial,
,,,Music,https://maplestory.fandom.com/api.php,hell,MapleStory,DecisiveBattle,Demon<br />Leafre of Past,
,,,Music,https://maplestory.fandom.com/api.php,hell,MapleStory,Demon's eye,FriendStory Chapter 6,
,,,Music,https://maplestory.fandom.com/api.php,hell,MapleStory,Demon's eye2,FriendStory Chapter 6,
,,,Music,https://maplestory.fandom.com/api.php,hell,MapleStory,Volcanic Zone Of Extinction,Vanishing Journey: Extinction Zone,
