#,Area,Compatible biomes,Condition,"Damage<ref name=""plantai""/>",Description,Item,Links,Listen,Name,Projectile,Tile and location requirements,Title,_ext_links,_file_links,_source_page,_wiki_api,biome_category,game
15,,,"* Space, night-time",,A quick and carefree theme that makes use of many airy synths and shares some of its instruments with the Overworld Day theme. Contains a motif of Underground.,,,300px,,,,Space Night,,['Music-Space Night.mp3'],Music,https://terraria.wiki.gg/api.php,space,Terraria
42,,,"* Space, daytime",,It has a slower and calmer feeling.,,,300px,,,,Space Day,,['Music-Space Day.mp3'],Music,https://terraria.wiki.gg/api.php,space,Terraria
70,,,"* Space
* Zenith world generation",,"An ambient track which subtly features ""psychedelic"" sounds for a sci-fi feeling and gradually grows to a heroic sound.",,,300px,,,,Space (Otherworldly),,['Music-Space (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,space,Terraria
83,,,* Lunar Events,,"Somewhat heroic-sounding, and features chanting as well as ample amounts of electric guitar.",,,300px,,,,The Towers (Otherworldly),,['Music-The Towers (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,space,Terraria
84,,,* Moon Lord,,"Resembles The Towers track but has more chanting and feels even more dramatic, as is appropriate with the Moon Lord appearing after the Lunar Events.",,,300px,,,,Lunar Boss (Otherworldly),,['Music-Lunar Boss (Otherworldly).mp3'],Music,https://terraria.wiki.gg/api.php,space,Terraria
91,,,* The Aether,,"Ethereal, surreal, and yet calming track that bears a similarity to the Space tracks, fitting for the location the track plays in.",,,300px,,,,Aether,,['Music-Aether.mp3'],Music,https://terraria.wiki.gg/api.php,space,Terraria
